,EMPRESAS,CATALOGO_EMPRESAS,TIPO_DOCUMENTO
7938,,SUNFLOWER,
7939,,SUPASTA MAMA BERNI,
7940,,SUPER BOUTIUQE DE CALZADO YOREDY,
7941,,SUPER CABLE CARIAMANDA,
7942,,SUPER CARPET,
7943,,SUPER LASER,
7944,,SUPER MERCADO TRIDOR,
7945,,SUPER PACO,
7946,,SUPERDEPORTE SA,
7947,,SUPERFACIL ELECTRODOMESTICOS,
7948,,SUPERINTEAUDIT & COMPLIANCECONSULTORES CIA.LTDA,
7949,,SUPERINTENDENCIA DE BANCOS,
7950,,SUPERINTENDENCIA DE COMPAÑIAS,
7951,,SUPERINTENDENCIA DE ECONOMIA POPULAR Y SOLIDARIA,
7952,,SUPERINTENDENCIA DE ORDENAMIENTO TERRITORIAL,
7953,,SUPERINTENDENCIA DE TELECOMUNICACIONES,
7954,,SUPERKLIMA,
7955,,SUPERMERCADO MAS,
7956,,SUPERMERCADOS LA FAVORITA C.A,
7957,,SUPERMERCADOS MEGA SANTAMARIA,
7958,,SUPERMERCADOS SANTA MARIA,
7959,,SUPERMERCADOS VIRGEN DEL QUINCHE CIA LTDA,
7960,,SUPERMERCADOS YEROVY,
7961,,SUPRASOLUTIONS,
7962,,SUPREMA MG RADIO,
7963,,SUQUILANDA RAMIREZ MILENNY GABRIELA,
7964,,SUQUILLO MORALES MAYRA ALEXANDRA,
7965,,SURCOMPI S.A,
7966,,SURCONECT_CIA,
7967,,SURECTEL,
7968,,SURECTEL CIA. LTDA.,
7969,,SURECTEL INGENIERIA Y PROYECTOS CIA. LTDA.,
7970,,SURTAX S.A.,
7971,,SWISSCONTACT,
7972,,SWISSOTEL QUITO,
7973,,SYNLAB,
7974,,SYSCONTAMEC CIA LTDA,
7975,,SYSMASTER TECNOLOGY,
7976,,SYSPARK ECUADOR,
7977,,SYSPARKS - ECUADOR,
7978,,SYSTEMRED,
7979,,T TORA KARINA NATALIE,
7980,,T-REX BBQ EN SMOKEHOUSE,
7981,,TABAEREO S.A,
7982,,TACURI CABEZAS PABLO DAVID,
7983,,TACURI SALAZAR DENNIS ALCIVAR,
7984,,TAEX TAYOS EXPEDITIONS TOURS C. LTDA.,
7985,,TAGESSCHULE & COLEGIO SAN GERARDO,
7986,,TALLANIX S.A.C.,
7987,,TALLER ARTESANAL ALUMCOL,
7988,,TALLER DE CARROCERIAS GUACHO,
7989,,TALLER DE ENDEREZADA Y PINTURA EL PUMA,
7990,,TALLER INDUSTRIAL ARMIJOS GAONA,
7991,,TALLER NAVAL DEL PACIFICO,
7992,,TALLERES BALBUCA,
7993,,TALLERES DANILO VINICIO GUERRA,
7994,,TALLERES ESPARTA,
7995,,TALLERES TELCAFE,
7996,,TAMAY CARRION MICHAEL PATRICIO,
7997,,TAMAY MONTERO YONNY CECILIA,
7998,,TAME,
7999,,TAME EP,
8000,,TANDAPITRUCK S. A,
8001,,TANDAZO ARIAS JIMMY HANDEL,
8002,,TANDAZO ESTRELLA JAVIER ALEJANDRO,
8003,,TANDAZO MALLA KRUPSKAYA CAROLINA,
8004,,TANIA MARIBEL SALINAS RAMOS,
8005,,TAOPROCONSULT S.A,
8006,,TAPIA & TAPIA CONSULTORES JURIDICOS LEGALESCOAJ CIA.LTDA,
8007,,TAPIA ARMIJOS MARIA FERNANDA,
8008,,TAPIA FALCONI LISSETTE YOLANDA,
8009,,TAPIA LEON MIGUEL ANTONIO,
8010,,TAPIA ORBEA JAVIER EDUARDO,
8011,,TARGETAUTO CIA. LTDA.,
8012,,TATASOLUTION CENTER S.A.,
8013,,TATIANA ALEXANDRA CONDOLE CORREA,
8014,,TAY HING CAMPBELL YAMIL ALBERTO,
8015,,TC TELEVISION,
8016,,TEACHERS GROUP,
8017,,TEATRO BENJAMIN CARRION MORA DE LOJA,
8018,,TEATRO CAFE BAK S.A.S,
8019,,TEATRO NACIONAL BENJAMIN CARRION MORA,
8020,,TECHNICAL UNIVERSITY BERLIN,
8021,,TECHNICAL UNIVERSITY OF MUNICH TUM,
8022,,TECMESUR,
8023,,TECNIACERO,
8024,,TECNIBUSINESS CLA.LTDA,
8025,,TECNICA UNIDA. SA.,
8026,,TECNICA Y COMERCIO DE LA PESCA TECOPESCA,
8027,,TECNICENTRO CHAVEZ,
8028,,TECNICENTRO RECOBA,
8029,,TECNICOMPU,
8030,,TECNISEGUROS S. A.,
8031,,TECNISOLUCIONES INFORMATICAS,
8032,,TECNOARCADIA S.A.S. SOCIEDAD POR ACCIONES SIMPLIFICADA,
8033,,TECNODIGI CIA. LTDA.,
8034,,TECNOENLACES,
8035,,TECNOGGEEN CONSULTING_GRUPO AVANTI,
8036,,TECNOGREEN CONSULTING CIA. LTDA.,
8037,,TECNOLAB S.R.L.,
8038,,TECNOLOGIA AVANZADA DEL ECUADOR TECNOAV C. LTDA.,
8039,,TECNOLOGIAS INFORMATICAS DEL ECUADOR VILSAMA CIA.,
8040,,TECNOMOTOR CAR SERVICE TECNOCENTER S.A.,
8041,,TECNYCOMPSA,
8042,,TECOMPARTES CIA LTDA,
8043,,TECSICOM CIA. LTDA.,
8044,,TEJIDOS PINTEX S.A.,
8045,,TELCO DYNAMICS CIA LTDA,
8046,,TELCONET,
8047,,TELCONET S.A.,
8048,,TELCONFIANZA,
8049,,TELDISCORP,
8050,,TELDISCORP S.A.,
8051,,TELE CUATRO GUAYAQUIL C.A.,
8052,,TELE MILAGRO CANAL 3,
8053,,TELEALFACOM CIA. LTDA,
8054,,TELECAUSTRO,
8055,,TELECOSTA 6 TV,
8056,,TELECTROCOM,
8057,,TELECUADOR,
8058,,TELECUADOR C LTDA,
8059,,TELEFONICA COMPRAS ELECTRONICAS S.L.,
8060,,TELEFONICA LEARNING SERVICES COLOMBIA SASA,
8061,,TELEGALAPAGOS CANAL 13,
8062,,TELEMAR,
8063,,TELERAMA SA,
8064,,TELEVISION Y VENTAS TELEVENT S.A.,
8065,,TELLO JIMENEZ PENELOPE NATHALY,
8066,,TENE TENE ANGEL VICENTE,
8067,,TENENCIA POLITICA DE LA PARROQUIA ELOY ALFARO DEL CANTON CHONE,
8068,,TENENCIA POLITICA DE LA PARROQUIA PIMOCHA,
8069,,TENIENTE DIAZ TERAN,
8070,,TEOJAMA COMERCIAL S.A,
8071,,TERESA FLOR,
8072,,TERESITA UBALDINA MARIN MORA,
8073,,TERMALIMEX,
8074,,TERMALIMEX C. LTDA,
8075,,TERMAUMEX CIA LTDA,
8076,,TERMINAL PORTUARIO DE MANTA,
8077,,TERRACERAMIC S,
8078,,TERRACIVIL CIA LTDA,
8079,,TERRAFERTIL S.A,
8080,,TERRE DES HOMMES,
8081,,TESALIA CBC,
8082,,TESIA LABORATORIOS S.A,
8083,,TEXTILES CAMERO,
8084,,TEXTILES LA ESCALA S.A.,
8085,,THE CANADIAN HOUSE CENTER,
8086,,THE ESTABLISHMENT OF A UNESCO CHAIR IN A CULTURE OF PEACE AND EDUCATION,
8087,,THE HIGHLANDS SCHOOL QUITO,
8088,,THE NATURE CONSERVANCY,
8089,,THE SECRET GARDEN TURISMO CIA LTDA,
8090,,THE TESALIA SPRINGS COMPANY S.A.,
8091,,THE UNIVERSITY OF UTAH,
8092,,THE WHITE HOUSE,
8093,,THE WORLD RADIO MISSIONARY FELLOWSHIP INC HCJB GLOBAL HOSPITAL VOZANDES QUITO,
8094,,THECONSTRUCCOMPANY S.A,
8095,,THERMOGLOBAL,
8096,,THOUGHTWORKS,
8097,,THOUGHTWORKS SOFTWARE ECUADOR SA,
8098,,THOUROGHTEC SIMULATION_FEDES_CIMA,
8099,,THYSSENKRUPP ELEVADORES S.A.C.,
8100,,TIBALLOSA S.A.,
8101,,TIC TAC DO,
8102,,TIENDA MARTINA DE JESUS GUTIERREZ FIGUEROA,
8103,,TIENDAS ASKY,
8104,,TIENDAS INDUSTRIALES ASOCIADAS TIA S.A.,
8105,,TIENDAS INDUSTRIALES COMERCIALES TICSA,
8106,,TIENDEC S.A.,
8107,,TIERRA AGROPECUARIA YANTZAGROP CIA LTDA.,
8108,,TIMETOGAME S.A.S,
8109,,TINITANA IMAICELA FANI,
8110,,TINTORERIA TERMITEX,
8111,,TIPOGRAFIA SPOLETINI,
8112,,TIPPYTEA CIA. LTDA.,
8113,,TITANIUM DENTAL CORP.,
8114,,TLM ROYAL C.L,
8115,,TMPAOUES Y ENVOI . URAS DEL ECUADOR ENVOI.PAOUES CIA L I DA,
8116,,TOBAR SUIGCHONG ROMMEL GUSTAVO,
8117,,TOCOL PHARMACEUTICALS LLC,
8118,,TOKYOINTER TOKYO INTERNACIONAL CIA LTDA,
8119,,TOLEDO MACAS ELISA EVELYN,
8120,,TOLEPU S.A.,
8121,,TOMOMEDICAL SA,
8122,,TONICORP,
8123,,TOOL BOX LAB,
8124,,TOOL BOX LAB MUSIC,
8125,,TOP PRINT,
8126,,TOPJESA BASCULAS Y BALANZAS,
8127,,TORAL & TORAL ABOGADOS,
8128,,TORRES AC ASOCIADOS,
8129,,TORRES AZANZA HARTMAN JOSE,
8130,,TORRES CELI JONATHAN ISRAEL,
8131,,TORRES DELGADO ALEXANDER MANUEL,
8132,,TORRES DELGADO JONATHAN PATRICIO,
8133,,TORRES GALLEGOS SILVIA VERONICA,
8134,,TORRES GUARNIZO DIANA ALEXANDRA,
8135,,TORRES GUARNIZO SANDRA MARITZA,
8136,,TORRES GUTIERREZ ANGEL RAMIRO,
8137,,TORRES GUTIERREZ MERCEDES DEL CISNE,
8138,,TORRES ORELLANA LILIAM GERMANIA,
8139,,TORRES RECORDS,
8140,,TORRES SANCHEZ XIMENA MARIA,
8141,,TORRES SARANGO JOSE LEONARDO,
8142,,TORRES ZAMBRANO JONATHAN FERNANDO,
8143,,TORVIC CA,
8144,,TOTALISA,
8145,,TOTALTEK,
8146,,TOTALTEK S.A.,
8147,,TOVACOMPU,
8148,,TOVACOMPU CIA LTDA,
8149,,TOYOTA,
8150,,TPAREJABROK S.A,
8151,,TRACTOMIL S.A.,
8152,,TRACTONI S.A.,
8153,,TRAMACOEXPRESS CIA. LTDA.,
8154,,TRAMAS,
8155,,TRANSCOIV CIA. LTDA.,
8156,,TRANSMETROPOLI S.A.,
8157,,TRANSPLANETA S.A,
8158,,TRANSPORTE DE CARGA PESADA CARRERAYCARRERA PAFECAVE S.A,
8159,,TRANSPORTE DE CARGA PESADA DIEGO ENCALADA,
8160,,TRANSPORTE DE CARGA PESADA SACHABRATS S.A,
8161,,TRANSPORTE DE CARGA PESADA TRANSPECARBA S.A,
8162,,TRANSPORTE ESCOLAR FAREZ RIVERA GOMEZ S.A.,
8163,,TRANSPORTE FRONTERIZO ARENILLAS S A TRANSFROARE,
8164,,TRANSPORTE INTERNACIONAL DE CARGA,
8165,,TRANSPORTE MIXTO RIVERAS DEL DORADO MIXDORADOTRANSS SA,
8166,,TRANSPORTE Y SERVICIOS DE RENTACAR LAGOIMPERCAR S.A.,
8167,,TRANSPORTES HUGO MEJIA CIA. LTDA.,
8168,,TRANSPORTES ORIENTALES DEL COCA ORIENTAC S.A.,
8169,,TRANSPORTES ORTIZ S.A,
8170,,TRANSPORTES PLANETA TRANSPLANETA S.A.,
8171,,TRANSPORTES VINGALA C.A.,
8172,,TRANSPORTES Y SERVICIOS ASOCIADOS SYTSA CIA LTDA,
8173,,TRANSTELCO S.A,
8174,,TRAPAGA FERNANDEZ JOSE MARIA,
8175,,TRATAGUAS CIA. LTDA.,
8176,,TRECE DE ABRIL,
8177,,TREXC SA,
8178,,TRIBUNAL CONSTITUCIONAL,
8179,,TRIBUNAL DE JUSTICIA DE LA COMUNIDAD ANDINA,
8180,,TRIBUTACION,
8181,,TRIBYCONT,
8182,,TRITUCOMAP TRITURACION COMERCIALIZACION DE MATERIAL PETREO CIA. LTDA.,
8183,,TROPITREE S.A.S.,
8184,,TRUECOMPANY S A,
8185,,TU CENTRO OPTICO,
8186,,TUBACONS,
8187,,TUBERIAS DEL ECUADOR,
8188,,TUBOTECNO CIA.LTDA_COLLAGUAZO AREQUIPA CARLOS RAFAEL,
8189,,TUCKER YEPEZ JHON JOSSIMAR,
8190,,TULES Y NOVIAS TULNOVIAS,
8191,,TUPIAN CARLOS ALEXANDER,
8192,,TUPPERWARE DEL ECUADOR,
8193,,TURISMO EJECUTIVE EXPRESS,
8194,,TURISTECH,
8195,,TURQUERES SALAS WILTER GERMAN,
8196,,TUSA ROA MILTON ROLANDO,
8197,,TV CATOLICA LOS ENCUENTROS,
8198,,TV ORO CANAL 8 PORTOVELO,
8199,,TVENTAS,
8200,,TVN CANAL 9,
8201,,U.E HECTOR USCOCOVICH BALDA,
8202,,U.E VICTOR GERARDO AGUILAR,
8203,,U.E. CLAUDIO PEÑAHERRERA,
8204,,U.E. JUAN PABLO II DE FE Y ALEGRIA,
8205,,U.E.FISCOMISIONAL NUESTRA SEORA DEL ROSARIO,
8206,,U.E.P. VICTORIA BILINGUAL CHRISTIAN ACADEMY,
8207,,U.V. TELEVISION,
8208,,UBESA,
8209,,UCP,
8210,,UE DORA BEATRIZ CANELOS,
8211,,UE JHON WICLIFFE,
8212,,UE MARIETA DE VEINTIMILLA,
8213,,UE. DR. GONZALO ABAD GRIJALVA,
8214,,UECIB ANGEL ERMINIO SILVA OLIVO,
8215,,UECIB INTILLACTA DE PAUSHIYACU,
8216,,UED.EMAUS DE FE Y ALEGRIA,
8217,,UEP BILINGÜE CARDENAL SPELLMAN (SOCIEDAD DE MADRES SALESIANAS),
8218,,UERTAS JUAN PABLO,
8219,,UFRO,
8220,,UGSHA INMOBILIARIOS,
8221,,UILANDA PAUL ENRIQUE,
8222,,UISHPE JESSICA ELOISA,
8223,,ULEHLOVA EVA,
8224,,ULL,
8225,,UMPACTO SOLUCIONES CIA. LTDA,
8226,,UN TECHO PARA ML PAIS ECUADOR,
8227,,UNACEM,
8228,,UNDA COSTA ALICIA JUDITH,
8229,,UNE CALVAS,
8230,,UNED,
8231,,UNEFA,
8232,,UNEM S,
8233,,UNESCO,
8234,,UNIAO BRASILIENSE DE EDUCAQAO E CULTURA UBEC,
8235,,UNICENTRO JOSS,
8236,,UNIDA EDUCATIVA SAN GREGORIO,
8237,,UNIDA EDUCATIVA SAN RAFAEL,
8238,,UNIDAD  EDUCATIVA INEPE,
8239,,UNIDAD AEROPOLICIAL GUAYAQUIL,
8240,,UNIDAD CRECIENDO CON NUESTROS HIJOS - ATAHUALPA JUAN XXIII,
8241,,UNIDAD DE ACCION SOCIAL DE LAGO AGRIO,
8242,,UNIDAD DE ACCION SOCIAL DEL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE LAGO AGRIO,
8243,,UNIDAD DE EDUCACION ESPECIAL FE Y ALEGRIA,
8244,,UNIDAD DE EDUCACION ESPECIALIZADA FISCOMISIONAL DIVINO NINO JESUS,
8245,,UNIDAD DE EDUCACION ESPECIALIZADA MANUEL BENJAMIN PESANTES VALAREZO,
8246,,UNIDAD DE EDUCACION PARTICULAR IBEROAMERICANO,
8247,,UNIDAD DE EDUCACION PARTICULAR IBEROAMERICANO SAN AGUSTIN,
8248,,UNIDAD DE EQUITACION Y REMOTA GUAYAQUIL,
8249,,UNIDAD DE GESTION AMBIENTAL,
8250,,UNIDAD DE NEGOCIO TERMOESMERALDAS,
8251,,UNIDAD DE PATRONATO MUNICIPAL SAN JOSE (UPMSJ),
8252,,UNIDAD DE VILIGANCIA CENTRO GUAYAS,
8253,,UNIDAD EDUACATIVA DR GOLEMAN,
8254,,UNIDAD EDUCATICA ANDRES BELLO LOPEZ,
8255,,UNIDAD EDUCATIVA,
8256,,UNIDAD EDUCATIVA ‘’ISMAEL PROAÑO ANDRADE,
8257,,UNIDAD EDUCATIVA ´TRECE DE ABRIL,
8258,,UNIDAD EDUCATIVA ¨JULIO ISAAC ESPINOSA OCHOA¨ Y MINISTERIO DE INCLUSION ECONOMICA Y SOCIAL,
8259,,UNIDAD EDUCATIVA ¨MIGUEL ANGEL BUONARROTI¨,
8260,,UNIDAD EDUCATIVA 12 DE ENERO,
8261,,UNIDAD EDUCATIVA 12 DE FEBRERO,
8262,,UNIDAD EDUCATIVA 12 DE MAYO,
8263,,UNIDAD EDUCATIVA 13 DE MAYO,
8264,,UNIDAD EDUCATIVA 13 DE OCTUBRE,
8265,,UNIDAD EDUCATIVA 15 DE MARZO,
8266,,UNIDAD EDUCATIVA 16 DE JULIO,
8267,,UNIDAD EDUCATIVA 19 DE AGOSTO,
8268,,UNIDAD EDUCATIVA 19 DE MAYO,
8269,,UNIDAD EDUCATIVA 24 DE JULIO,
8270,,UNIDAD EDUCATIVA 24 DE MAYO,
8271,,UNIDAD EDUCATIVA 26 DE FEBRERO EN EDUCACION BASICA,
8272,,UNIDAD EDUCATIVA 26 DE FEBRERO.,
8273,,UNIDAD EDUCATIVA 26 DE SEPTIEMBRE,
8274,,UNIDAD EDUCATIVA 28 DE SEPTIEMBRE,
8275,,UNIDAD EDUCATIVA 3 DE NOVIMBRE,
8276,,UNIDAD EDUCATIVA 7 DE SEPTIEMBRE,
8277,,UNIDAD EDUCATIVA 8 DE DICIEMBRE,
8278,,UNIDAD EDUCATIVA 9 DE OCTUBRE,
8279,,UNIDAD EDUCATIVA A DISTANCIA DE LOJA,
8280,,UNIDAD EDUCATIVA ABDON CALDERON,
8281,,UNIDAD EDUCATIVA ABELARDO FLORES,
8282,,UNIDAD EDUCATIVA ACADEMIA MILITAR BORJA 3,
8283,,UNIDAD EDUCATIVA ACEDEMIA ALMIRANTE NELSON,
8284,,UNIDAD EDUCATIVA ADOLFO VALAREZO,
8285,,UNIDAD EDUCATIVA ALBERTO ENRIQUEZ GALLO,
8286,,UNIDAD EDUCATIVA ALBERTO SAETAMA MASACHE,
8287,,UNIDAD EDUCATIVA ALBERTOANDRADE ARIZAGA BRUMMEL,
8288,,UNIDAD EDUCATIVA ALEJANDRO ALVEAR,
8289,,UNIDAD EDUCATIVA ALEJANDRO ANDRADE CORDERO,
8290,,UNIDAD EDUCATIVA ALEJANDRO RAFAEL MERA,
8291,,UNIDAD EDUCATIVA ALESSANDRO VOLTA,
8292,,UNIDAD EDUCATIVA ALFONSO QUIÑONEZ GEORGE,
8293,,UNIDAD EDUCATIVA ALFREDO CISNEROS,
8294,,UNIDAD EDUCATIVA ALFREDO PEREZ CHIRIBOGA-,
8295,,UNIDAD EDUCATIVA ALFREDO PEREZ GUERRERO,
8296,,UNIDAD EDUCATIVA ALIDA ZAMBRANO GARCIA,
8297,,UNIDAD EDUCATIVA ALLURIQUIN,
8298,,UNIDAD EDUCATIVA ALTO CENEPA,
8299,,UNIDAD EDUCATIVA ALVERNIA,
8300,,UNIDAD EDUCATIVA AMBATO,
8301,,UNIDAD EDUCATIVA AMERICA,
8302,,UNIDAD EDUCATIVA AMERICAN SCHOOL,
8303,,UNIDAD EDUCATIVA AMERICAS DEL VALLE,
8304,,UNIDAD EDUCATIVA AMPARITO BUEN PASTOR,
8305,,UNIDAD EDUCATIVA ANCON,
8306,,UNIDAD EDUCATIVA ANDRES AVELINO DE LA TORRE,
8307,,UNIDAD EDUCATIVA ANDRES. F. CORDOVA,
8308,,UNIDAD EDUCATIVA ANGEL TINOCO RUIZ,
8309,,UNIDAD EDUCATIVA ANTARES,
8310,,UNIDAD EDUCATIVA ANTONIO ANTE.,
8311,,UNIDAD EDUCATIVA ANTONIO NARIO,
8312,,UNIDAD EDUCATIVA ARNULFO JARAMILLO SIERRA,
8313,,UNIDAD EDUCATIVA ASCAZUBI,
8314,,UNIDAD EDUCATIVA ATAHUALPA,
8315,,UNIDAD EDUCATIVA ATANACIO VITERI,
8316,,UNIDAD EDUCATIVA ATENEO,
8317,,UNIDAD EDUCATIVA ATLANTIS DEL VALLE,
8318,,UNIDAD EDUCATIVA AURELIO BAYAS,
8319,,UNIDAD EDUCATIVA AYAPAMBA,
8320,,UNIDAD EDUCATIVA BAEZA,
8321,,UNIDAD EDUCATIVA BALAO,
8322,,UNIDAD EDUCATIVA BALTAZAR AGUIRRE,
8323,,UNIDAD EDUCATIVA BAÑOS BLOQUE 2,
8324,,UNIDAD EDUCATIVA BARON DE CARONDELET,
8325,,UNIDAD EDUCATIVA BAUTISTA CHARLES SPURGEON,
8326,,UNIDAD EDUCATIVA BELLAMARIA,
8327,,UNIDAD EDUCATIVA BERNARDINO ECHEVERRIA,
8328,,UNIDAD EDUCATIVA BILINGUE DE LA INMACULADA,
8329,,UNIDAD EDUCATIVA BILINGUE DELTA,
8330,,UNIDAD EDUCATIVA BILINGÜE EDUCAMUNDO,
8331,,UNIDAD EDUCATIVA BILINGUE EDUCAR 2000,
8332,,UNIDAD EDUCATIVA BILINGÜE INTERAMERICANA,
8333,,UNIDAD EDUCATIVA BILINGÜE INTERNATIONAL SCHOOL,
8334,,UNIDAD EDUCATIVA BILINGUE MODERNA SERGIO PEREZ VALDEZ,
8335,,UNIDAD EDUCATIVA BILINGÜE NUEVA SEMILLA,
8336,,UNIDAD EDUCATIVA BILINGUE NUEVO MUNDO,
8337,,UNIDAD EDUCATIVA BILINGUE SAGRADOS CORAZONES,
8338,,UNIDAD EDUCATIVA BILINGUE TORREMAR,
8339,,UNIDAD EDUCATIVA BOLIVAR,
8340,,UNIDAD EDUCATIVA BOLIVAR SEDE 3,
8341,,UNIDAD EDUCATIVA BORJA MONTSERRAT,
8342,,UNIDAD EDUCATIVA BRETHREN,
8343,,UNIDAD EDUCATIVA BUQUE DEL PACIFICO,
8344,,UNIDAD EDUCATIVA CACHA,
8345,,UNIDAD EDUCATIVA CAHUASQUI,
8346,,UNIDAD EDUCATIVA CAMINO DEL INCA,
8347,,UNIDAD EDUCATIVA CAP. EDMUNDO CHIRIBOGA,
8348,,UNIDAD EDUCATIVA CAPITAN EDMUNDO CHIRIBOGA,
8349,,UNIDAD EDUCATIVA CARANQUIS RCTO NUEVO PORVENIR,
8350,,UNIDAD EDUCATIVA CARDENAL CARLOS MARIA DE LA TORRE,
8351,,UNIDAD EDUCATIVA CARDENAL DE LA TORRE,
8352,,UNIDAD EDUCATIVA CARIAMANGA,
8353,,UNIDAD EDUCATIVA CARLOS AGUILAR,
8354,,UNIDAD EDUCATIVA CARLOS FREIRE ZALDUMBIDE,
8355,,UNIDAD EDUCATIVA CARLOS GARBAY MONTESDEOCA,
8356,,UNIDAD EDUCATIVA CARLOS MARTINEZ ACOSTA,
8357,,UNIDAD EDUCATIVA CARLOS ZAMBRANO OREJUELA,
8358,,UNIDAD EDUCATIVA CARMEN ADELA CARDENAS,
8359,,UNIDAD EDUCATIVA CARRERA SANCHEZ BRUNO,
8360,,UNIDAD EDUCATIVA CASA DE LA CULTURA BENJAMIN CARRION,
8361,,UNIDAD EDUCATIVA CATOLICA LA VICTORIA,
8362,,UNIDAD EDUCATIVA CATOLICA PARTICULAR RAFAEL BUCHELI,
8363,,UNIDAD EDUCATIVA CAZADORES DE LOS RIOS,
8364,,UNIDAD EDUCATIVA CERIT,
8365,,UNIDAD EDUCATIVA CESAR ARROYO,
8366,,UNIDAD EDUCATIVA CESAR AUGUSTO SALAZAR CHAVEZ,
8367,,UNIDAD EDUCATIVA CESAR DELGADO LUCAS,
8368,,UNIDAD EDUCATIVA CESAR VIERA,
8369,,UNIDAD EDUCATIVA CHIQUINTAD,
8370,,UNIDAD EDUCATIVA CHUNCHI,
8371,,UNIDAD EDUCATIVA CIUDAD DE CARACAS,
8372,,UNIDAD EDUCATIVA CIUDAD DE IBARRA,
8373,,UNIDAD EDUCATIVA CIUDAD DE MACHALA,
8374,,UNIDAD EDUCATIVA CIUDAD DE PAUTE,
8375,,UNIDAD EDUCATIVA CLEMENCIA RODRIGUEZ DE MORA,
8376,,UNIDAD EDUCATIVA CLEMENTE BAQUERIZO,
8377,,UNIDAD EDUCATIVA COLEGIO ALEMAN HUMBOLT DE GUAYAQUIL,
8378,,UNIDAD EDUCATIVA COMBATIENTES DE TAPI,
8379,,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE - NUNKUI,
8380,,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE ABC,
8381,,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE ANGEL ERMINIO SILVA OLIVO,
8382,,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE ANGEL NOLBERTO SUAREZ,
8383,,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE EL PANO,
8384,,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE GENERAL ANTONIO ELIZALDE,
8385,,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE GUARDIANA DE LA LENGUA MUSHUC PACARI,
8386,,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE HUALCOPO DUCHICELA,
8387,,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE INKA SAMANA,
8388,,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE JUAN BAUTISTA AGUIRRE,
8389,,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE LUIS TSUKANKA,
8390,,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE MIGUEL EGAS CABEZAS,
8391,,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE MUSHUK AYLLU,
8392,,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE MUSHUK RIMAX,
8393,,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE SAN JOSE DE CHONTA PUNTA,
8394,,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE SIETE DE MAYO,
8395,,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL PRESBITERO AMABLE HERRERA,
8396,,UNIDAD EDUCATIVA CONCEJO PROVINCIAL DE PICHINCHA,
8397,,UNIDAD EDUCATIVA CONSEJO PROVINCIAL DE NAPO,
8398,,UNIDAD EDUCATIVA CONSEJO PROVINCIAL DEL CARCHI,
8399,,UNIDAD EDUCATIVA CORAZON DE MARIA,
8400,,UNIDAD EDUCATIVA CORDILLERA,
8401,,UNIDAD EDUCATIVA CORDILLERA DEL CONDOR,
8402,,UNIDAD EDUCATIVA CORONEL LUCIANO CORAL MORILLO,
8403,,UNIDAD EDUCATIVA CRISTIANA HARVEST SCHOOL.,
8404,,UNIDAD EDUCATIVA CRISTIANA KYRYOS,
8405,,UNIDAD EDUCATIVA CRISTO REY,
8406,,UNIDAD EDUCATIVA CRISTO REY MADRES FRANCISCANAS - EL QUINCHE,
8407,,UNIDAD EDUCATIVA CRISTOBAL COLON,
8408,,UNIDAD EDUCATIVA CUMANDA,
8409,,UNIDAD EDUCATIVA CUMBRES DEL SABER,
8410,,UNIDAD EDUCATIVA CURTINCAPAC,
8411,,UNIDAD EDUCATIVA DANIEL HERMIDA,
8412,,UNIDAD EDUCATIVA DARIO GUEVARAMAYORGA,
8413,,UNIDAD EDUCATIVA DARIO KANYAT,
8414,,UNIDAD EDUCATIVA DAULIS,
8415,,UNIDAD EDUCATIVA DE ARTES PLASTICAS DANIEL REYES,
8416,,UNIDAD EDUCATIVA DE EDUCACION BASICA MIGUEL HEREDIA CRESPO,
8417,,UNIDAD EDUCATIVA DE FUERZAS ARMADAS CMDTE. CESAR ENDARA PEÑAHERRERA,
8418,,UNIDAD EDUCATIVA DE FUERZAS ARMADAS COLEGIO MILITAR HEROES DEL 41,
8419,,UNIDAD EDUCATIVA DE FUERZAS ARMADAS LICEO NAVAL QUITO,
8420,,UNIDAD EDUCATIVA DE FUERZAS ARMADAS LICEO NAVAL QUITO COMANDANTE CESAR ENDARA PEÑAHERRERA,
